id_number,name,name_english,slug,type,country_code,poster_path,total_episodes,latest_episode_sub,latest_episode_dub,airing_status,aired_from,runtime,rating_type,has_sub,has_dub,mal_score,genres,id
1,Fullmetal Alchemist: Brotherhood,Fullmetal Alchemist: Brotherhood,fullmetal-alchemist-brotherhood,TV,jp,0d/2d/0d2d0a1d4276e7e2595702dc4cebbda9/0d2d0a1d4276e7e2595702dc4cebbda9.jpeg,64.0,64.0,64,1,"Apr 5, 2009",24.0,R,1,1,9.15,"Action,Adventure,Comedy,Drama,Fantasy,Magic,Shounen,Military",gTNZR4
2,Hunter x Hunter (2011),Hunter x Hunter,hunter-x-hunter,TV,jp,99/3c/993c0361975cce4c7fbb11f8558f9664/993c0361975cce4c7fbb11f8558f9664.jpg,148.0,148.0,148,1,"Oct 2, 2011",23.0,PG-13,1,1,9.05,"Action,Adventure,Fantasy,Shounen,Super Power",mWf5Ei
3,Steins;Gate,Steins;Gate,steinsgate,TV,jp,68/35/6835ff30fa46da5612e3adc81f51724e/6835ff30fa46da5612e3adc81f51724e.jpg,24.0,24.0,24,1,"Apr 6, 2011",24.0,PG-13,1,1,9.09,"Drama,Sci-Fi,Psychological,Thriller,Isekai",lObfa7
4,Gintama°,Gintama Season 4,gintama-season-4,TV,jp,a1/15/a115c6b61df10d8d42ed854e72bfdb93/a115c6b61df10d8d42ed854e72bfdb93.jpg,51.0,51.0,0,1,"Apr 8, 2015",24.0,PG-13,1,0,9.09,"Action,Comedy,Historical,Parody,Samurai,Sci-Fi,Shounen",HVv9KC
5,Ginga Eiyuu Densetsu,Legend of the Galactic Heroes,legend-of-the-galactic-heroes,TV,jp,83/08/830851972f7453ad853adeb71e423f25/830851972f7453ad853adeb71e423f25.jpg,110.0,110.0,0,1,"Jan 8, 1988",26.0,R,1,0,9.04,"Drama,Sci-Fi,Space,Military",99zKIf
6,Gintama',Gintama Season 2,gintama-season-2,TV,jp,5a/2f/5a2f7d0736f223f096c459751f6f0bd6/5a2f7d0736f223f096c459751f6f0bd6.jpg,51.0,51.0,0,1,"Apr 4, 2011",24.0,PG-13,1,0,9.06,"Action,Comedy,Historical,Parody,Samurai,Sci-Fi,Shounen",zWnYyc
8,Gintama': Enchousen,Gintama: Enchousen,gintama-enchousen,TV,jp,7a/37/7a3718dee58fcdd9980377689bb379dc/7a3718dee58fcdd9980377689bb379dc.jpg,13.0,13.0,0,1,"Oct 4, 2012",24.0,PG-13,1,0,9.04,"Action,Comedy,Historical,Parody,Samurai,Sci-Fi,Shounen",Lw8S99
9,3-gatsu no Lion 2nd Season,March Comes In Like A Lion 2nd Season,march-comes-in-like-a-lion-2nd-season,TV,jp,8a/7f/8a7f6d658709105486e07b3ebdd5b273/8a7f6d658709105486e07b3ebdd5b273.jpg,22.0,22.0,22,1,"Oct 14, 2017",25.0,PG-13,1,1,8.97,"Drama,Game,Slice of Life,Seinen",MxqVc2
10,Kimi no Na wa.,Your Name,your-name,Movie,jp,16/ee/16eec56baf8f3fcc6430607f58ce3d12/16eec56baf8f3fcc6430607f58ce3d12.jpg,1.0,1.0,1,1,"Aug 26, 2016",106.0,PG-13,1,1,8.88,"Drama,Romance,School,Supernatural",498zNN
11,Koe no Katachi,A Silent Voice,a-silent-voice,Movie,jp,7f/c6/7fc61d82b89949dff4319bd73ff2d456/7fc61d82b89949dff4319bd73ff2d456.jpg,1.0,1.0,1,1,"Sep 17, 2016",130.0,PG-13,1,1,8.96,"Drama,School,Shounen",pfK6GQ
12,Gintama.,Gintama Season 5,gintama-season-5,TV,jp,53/46/53463791fa7b97b16a5c8a72a175403d/53463791fa7b97b16a5c8a72a175403d.jpg,12.0,12.0,0,1,"Jan 9, 2017",24.0,PG-13,1,0,8.98,"Action,Comedy,Historical,Parody,Samurai,Sci-Fi,Shounen",SQiScB
13,Gintama,Gintama,gintama,TV,jp,55/7c/557c4c18257fd706c7ab480ce75fdd6f/557c4c18257fd706c7ab480ce75fdd6f.jpg,201.0,201.0,49,1,"Apr 4, 2006",24.0,PG-13,1,1,8.95,"Action,Comedy,Historical,Parody,Samurai,Sci-Fi,Shounen",ALwfgP
14,Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare,Gintama Movie 2: The Final Chapter - Be Forever Yorozuya,gintama-movie-2-the-final-chapter-be-forever-yorozuya,Movie,jp,13/92/13923da0128300dda128a10132465e4b/13923da0128300dda128a10132465e4b.jpg,1.0,1.0,0,1,"Jul 6, 2013",110.0,PG-13,1,0,8.94,"Action,Comedy,Historical,Parody,Samurai,Sci-Fi,Shounen",lq3d0K
21,Gintama.: Shirogane no Tamashii-hen - Kouhan-sen,Gintama.: Silver Soul Arc - Second Half War,gintama-silver-soul-arc-second-half-war,TV,jp,05/2c/052c2bf4847c61963a605066c036298a/052c2bf4847c61963a605066c036298a.jpg,14.0,14.0,0,1,"Jul 9, 2018",24.0,PG-13,1,0,8.85,"Action,Comedy,Historical,Parody,Samurai,Sci-Fi,Shounen",j4vys3
71,Natsume Yuujinchou Go,Natsume's Book of Friends Season 5,natsumes-book-of-friends-season-5,TV,jp,aa/f0/aaf0b6dc164e4ffed2c5cc9ad04927d6/aaf0b6dc164e4ffed2c5cc9ad04927d6.jpg,11.0,13.0,0,1,"Oct 5, 2016",23.0,PG-13,1,0,8.58,"Demons,Drama,Shoujo,Slice of Life,Supernatural",aIrRex
94,Saiki Kusuo no Ψ-nan 2,The Disastrous Life of Saiki K. 2,the-disastrous-life-of-saiki-k-2,TV,jp,05/87/05878f31a262e24cde809c15266a03ba/05878f31a262e24cde809c15266a03ba.jpg,24.0,24.0,0,1,"Jan 17, 2018",24.0,PG-13,1,0,8.44,"Comedy,School,Shounen,Slice of Life,Supernatural",no346R
104,Gotcha!,Gotcha!,gotcha,Music,jp,57/ed/57ed1c684d2478e99559bb5fa5d52e0e/57ed1c684d2478e99559bb5fa5d52e0e.jpg,1.0,1.0,0,1,"Sep 29, 2020",3.0,PG,1,0,8.48,"Fantasy,Music",0Knfwk
15,Clannad: After Story,Clannad ~After Story~,clannad-after-story,TV,jp,04/e6/04e65044c0d9637367efe0cddf7dd205/04e65044c0d9637367efe0cddf7dd205.jpg,24.0,24.0,24,1,"Oct 3, 2008",24.0,PG-13,1,1,8.95,"Comedy,Drama,Romance,Slice of Life,Supernatural",PKeK40
16,Owarimonogatari 2nd Season,Owarimonogatari Second Season,owarimonogatari-second-season,TV,jp,fd/62/fd6209d6f7a4c36fa0a6c7504102a309/fd6209d6f7a4c36fa0a6c7504102a309.jpg,7.0,7.0,0,1,"Aug 12, 2017",22.0,R,1,0,8.91,"Comedy,Mystery,Vampire,Supernatural",VCV7UC
17,Code Geass: Hangyaku no Lelouch R2,Code Geass: Lelouch of the Rebellion R2,code-geass-lelouch-of-the-rebellion-r2,TV,jp,39/82/3982e0e11afc5261c6c0daf71c408342/3982e0e11afc5261c6c0daf71c408342.jpg,25.0,25.0,25,1,"Apr 6, 2008",24.0,R,1,1,8.91,"Action,Drama,Mecha,Sci-Fi,Super Power,Military",ZNJOCT
18,Haikyuu!!: Karasuno Koukou vs. Shiratorizawa Gakuen Koukou,Haikyu!! 3rd Season,haikyu-3rd-season,TV,jp,d4/78/d478edb8170087ac0171f62bda7acc43/d478edb8170087ac0171f62bda7acc43.jpg,10.0,10.0,10,1,"Oct 8, 2016",24.0,PG-13,1,1,8.8,"Comedy,Drama,School,Shounen,Sports",zPkDVt
